"Hello, Alicia.  How do you feel?,","Hola, Alicia, Como te ",,,,,,
"Back,",Regresar,,,,,,
"Your Settings,",Tus preferencias,,,,,,
"View Reports,",Ver Reportes,,,,,,
"Record Feeling,",Grabar sentimiento,,,,,,
"You feel,",Tu te sientes: ,,,,,,
Category,Feeling ,Categoria,Sentimiento,,,,
Happy,glad,feliz,contento,,,,
Happy,good,feliz,bien,,,,
Happy,contented,feliz,satisfecho,,,,
Happy,satisfied,feliz,satisfecho,,,,
Happy,gratified,feliz,gratificado,,,,
Happy,pleasant,feliz,simpatico,,,,
Happy,pleased,feliz,encantado,,,,
Happy,fine,feliz,bien,,,,
Happy,cheerful,feliz,alegre,,,,
Happy,light-hearted,feliz,depreocupado,,,,
Happy,neat,feliz,pulcro,,,,
Happy,happy,feliz,feliz,,,,
Happy,serene,feliz,sereno,,,,
Happy,wonderful,feliz,maravilloso,,,,
Happy,up,feliz,a tope,,,,
Happy,aglow,feliz,radiante,,,,
Happy,glowing,feliz,brillante,,,,
Happy,in high spirits,feliz,de buen humor,,,,
Happy,jovial,feliz,jovial,,,,
Happy,riding high,feliz,apuntando alto,,,,
Happy,elevated,feliz,sublime,,,,
Happy,thrilled,feliz,emociando,,,,
Happy,on cloud nine,feliz,en el septimo cielo,,,,
Happy,ecstatic,feliz,extasiado,,,,
Happy,overjoyed,feliz,rebosante de alegria,,,,
Happy,excited,feliz,ilusionado,,,,
Happy,elated,feliz,euforico,,,,
Happy,sensational,feliz,sensacional,,,,
Happy,exhilirated,feliz,lleno de jubilo,,,,
Happy,fantastic,feliz,fantastico,,,,
Happy,terrific,feliz,fenomenal,,,,
Happy,on top of the world,feliz,en la cima del mundo,,,,
Happy,open,feliz,abierto,,,,
Happy,enthusiastic,feliz,entusiasmado,,,,
Happy,delighted,feliz,encantado,,,,
Happy,marvelous,feliz,de maravilla,,,,
Happy,great,feliz,genial,,,,
Caring,warm,cariñoso,calido,,,,
Caring,friendly,cariñoso,amistoso,,,,
Caring,like,cariñoso,agradable,,,,
Caring,positive,cariñoso,positivo,,,,
Caring,caring,cariñoso,cariñoso,,,,
Caring,fond,cariñoso,aficionado,,,,
Caring,regard,cariñoso,considerado,,,,
Caring,respectful ,cariñoso,respetuoso,,,,
Caring,admiration,cariñoso,admiracion,,,,
Caring,concern,cariñoso,preocupado,,,,
Caring,attracted,cariñoso,atraido,,,,
Caring,esteem,cariñoso,estima,,,,
Caring,charmed,cariñoso,encanto,,,,
Caring,turned on,cariñoso,excitado,,,,
Caring,trust,cariñoso,confiado,,,,
Caring,close,cariñoso,cerrado,,,,
Caring,tenderness,cariñoso,tierno,,,,
Caring,affection,cariñoso,afecto,,,,
Caring,captivated,cariñoso,cautivado,,,,
Caring,attached,cariñoso,apegado,,,,
Caring,devotion,cariñoso,devocion,,,,
Caring,adoration,cariñoso,adoracion,,,,
Caring,loving,cariñoso,amoroso,,,,
Caring,infatuated,cariñoso,encapricado,,,,
Caring,enamored,cariñoso,enamorado,,,,
Caring,nurturing,cariñoso,maternal,,,,
Caring,idolizing,cariñoso,idolatrado,,,,
Caring,passion,cariñoso,pasion,,,,
Caring,worshipful,cariñoso,adoracion,,,,
Confused,uncertain,confundido,incierto,,,,
Confused,unsure,confundido,inseguro,,,,
Confused,bothered,confundido,molesto,,,,
Confused,uncomfortable,confundido,incomodo,,,,
Confused,undecided,confundido,indeciso,,,,
Confused,mixed up,confundido,confundido,,,,
Confused,disorganized,confundido,desorganizado,,,,
Confused,foggy,confundido,obnubilado,,,,
Confused,troubled,confundido,apurado,,,,
Confused,adrift,confundido,a la deriva,,,,
Confused,lost,confundido,perdido,,,,
Confused,at loose ends,confundido,con cabos sueltos,,,,
Confused,embroiled,confundido,embrollado,,,,
Confused,disoriented,confundido,desorientado,,,,
Confused,disconnected,confundido,desconectado,,,,
Confused,frustrated,confundido,frustrado,,,,
Confused,in a bind,confundido,en un aprieto,,,,
Confused,ambivalent,confundido,ambivalente,,,,
Confused,disturbed,confundido,trastornado,,,,
Confused,helpless,confundido,indefenso,,,,
Confused,bewildered,confundido,apabullado,,,,
Confused,puzzled,confundido,perpetrado,,,,
Confused,baffled,confundido,desconcertado,,,,
Confused,perplexed,confundido,perplejo,,,,
Confused,trapped,confundido,atrapado,,,,
Confused,confounded,confundido,respaldado,,,,
Confused,in a dilemma,confundido,en un dilema,,,,
Confused,befuddled,confundido,aturdido,,,,
Confused,confused,confundido,confuso,,,,
Confused,in a quandry,confundido,en un dilema,,,,
Confused,full of questions,triste,en mar de dudas,,,,
Sad,unhappy,triste,infeliz,,,,
Sad,down,triste,hundido,,,,
Sad,low,triste,de bajon,,,,
Sad,bad,triste,de mal humor,,,,
Sad,blah,triste,pesado,,,,
Sad,disappointed,triste,defraudado,,,,
Sad,sad,triste,triste,,,,
Sad,glum,triste,apenado,,,,
Sad,distressed,triste,angustiado,,,,
Sad,upset,triste,disgustado,,,,
Sad,downcast,triste,abatido,,,,
Sad,sorrowful,triste,afligido,,,,
Sad,demoralized,triste,desmoralizado,,,,
Sad,discouraged,triste,desanimado,,,,
Sad,miserable,triste,miserable,,,,
Sad,pessimistic,triste,pesimista,,,,
Sad,tearful,triste,lloroso,,,,
Sad,weepy,triste,lloron,,,,
Sad,rotten,triste,podrido,,,,
Sad,awful,triste,asqueroso,,,,
Sad,horrible,triste,horrible,,,,
Sad,terrible,triste,terrible,,,,
Sad,blue,triste,deprimido,,,,
Sad,lost,triste,perdido,,,,
Sad,melancholy,triste,melancolico,,,,
Sad,desolate,triste,desolado,,,,
Sad,dejected,triste,desalentado,,,,
Sad,hopeless,triste,desesperanzado,,,,
Sad,alienated,triste,alienado,,,,
Sad,depressed,triste,deprimido,,,,
Sad,gloomy,triste,sombrío,,,,
Sad,dismal,triste,sombrio,,,,
Sad,bleak,triste,desolado,,,,
Sad,in despair,triste,desesperado,,,,
Sad,empty,triste,vacio,,,,
Sad,bereft,triste,desprovisto,,,,
Sad,grieved,triste,apenado,,,,
Sad,grief,triste,dolorido,,,,
Sad,grim,triste,siniestro,,,,
Angry,uptight,Enojado,tenso,,,,
Angry,disgusted,Enojado,disgustado,,,,
Angry,bugged,Enojado,molestado,,,,
Angry,turned off,Enojado,apagado,,,,
Angry,put out,Enojado,ofendido,,,,
Angry,miffed,Enojado,picado,,,,
Angry,irked,Enojado,irritado,,,,
Angry,perturbed,Enojado,perturbad,,,,
Angry,ticked off,Enojado,enhojado,,,,
Angry,teed off,Enojado,cabreado,,,,
Angry,chagrined,Enojado,disgustado,,,,
Angry,cross,Enojado,cruzado,,,,
Angry,dismayed,Enojado,afligido,,,,
Angry,impatient,Enojado,impaciente,,,,
Angry,resentful,Enojado,resentido,,,,
Angry,irritated,Enojado,irritado,,,,
Angry,hostile,Enojado,hostil,,,,
Angry,annoyed,Enojado,molestado,,,,
Angry,upset,Enojado,disgustado,,,,
Angry,agitated,Enojado,alboratado,,,,
Angry,mad,Enojado,rabioso,,,,
Angry,angry,Enojado,enfadado,,,,
Angry,aggravated,Enojado,agravado,,,,
Angry,offended,Enojado,ofendido,,,,
Angry,antagonisitic,Enojado,antagonista,,,,
Angry,exasperated,Enojado,exasperado,,,,
Angry,belligerent,Enojado,beligerante,,,,
Angry,mean,Enojado,mezquino,,,,
Angry,vexed,Enojado,fastidiado,,,,
Angry,spiteful,Enojado,malevolo,,,,
Angry,vindictive,Enojado,vengantivo,,,,
Angry,furious,Enojado,furioso,,,,
Angry,enraged,Enojado,enrabieatado,,,,
Angry,seething,Enojado,echando humo,,,,
Angry,outraged,Enojado,indignado,,,,
Angry,infuriated,Enojado,enfurecido,,,,
Angry,burned up,Enojado,quemado,,,,
Angry,pissed off,Enojado,cabreado,,,,
Angry,fighting mad,Enojado,hasta las narices,,,,
Angry,nauseated,Enojado,nauseas,,,,
Angry,violent,Enojado,Violento,,,,
Angry,indignant,Enojado,Indignado,,,, 
Angry,hatred,Enojado,odiado,,,,
Angry,bitter,Enojado,amargado,,,,
Angry,galled,Enojado,irritado,,,,
Angry,vengeful,Enojado,vengativo,,,,
Angry,hateful,Enojado,odioso,, ,,
Angry,vicious,Enojado,vicioso,,,,
Inadequate,insecure,Inadecuado,inseguro,,,,
Inadequate,unsure,Inadecuado,no seguro,,,,
Inadequate,uncertain,Inadecuado,incierto,,,,
Inadequate,weak,Inadecuado,debil,,,,
Inadequate,inefficient,Inadecuado,ineficiente,,,,
Inadequate,inadequate,Inadecuado,inadecuado,,,,
Inadequate,whipped,Inadecuado,azotado,,,,
Inadequate,defeated,Inadecuado,derrotado,,,,
Inadequate,incompetent,Inadecuado,incompetente,,,,
Inadequate,inept,Inadecuado,inepto,,,,
Inadequate,overwhelmed,Inadecuado,abrumado,,,,
Inadequate,ineffective,Inadecuado,inefectivo,,,,
Inadequate,lacking,Inadecuado,falta algo,,,,
Inadequate,deficient,Inadecuado,ineficiente,,,,
Inadequate,unable,Inadecuado,no disponible,,,,
Inadequate,incapable,Inadecuado,incapaz,,,,
Inadequate,small,Inadecuado,pequeno,,,,
Inadequate,unfit,Inadecuado,no apto,,,,
Inadequate,unimportant,Inadecuado,sin importancia,,,,
Inadequate,incomplete,Inadecuado,incompleto,,,,
Inadequate,no good,Inadecuado,no bueno,,,,
Inadequate,immobilized,Inadecuado,inmovilizado,,,,
Inadequate,worthless,Inadecuado,sin valor,,,,
Inadequate,good for nothing,Inadecuado,no sirve para nada,,,,
Inadequate,washed up,Inadecuado,arrojado,,,,
Inadequate,powerless,Inadecuado,sin poder,,,,
Inadequate,helpless,Inadecuado,sin ayuda,,,,
Inadequate,impotent,Inadecuado,imponente,,,,
Inadequate,crippled,Inadecuado,liciado,,,,
Inadequate,inferior,Inadecuado,inferior,,,,
Inadequate,emasculated,Inadecuado,castrado,,,,
Inadequate,useless,Inadecuado,inutil,,,,
Inadequate,finished,Inadecuado,terminado,,,,
Inadequate,like a failure,Inadecuado,como si fracase,,,,
Hurt,put down,lastimado,apachurrar,,,,
Hurt,neglected,lastimado,descuido ,,,,
Hurt,overlooked,lastimado,omitido,,,,
Hurt,minimized,lastimado,minimizado,,,,
Hurt,let down,lastimado,dejar abajo,,,,
Hurt,unappreciated,lastimado,inapreciado,,,,
Hurt,taken for granted,lastimado,sin valoracion,,,,
Hurt,hurt,lastimado,lastimado,,,,
Hurt,belittled,lastimado,menospreciado,,,,
Hurt,shot down,lastimado,derribado,,,,
Hurt,overlooked,lastimado,sin valoracion,,,,
Hurt,abused,lastimado,abusado,,,,
Hurt,depreciated,lastimado,depreciado,,,,
Hurt,criticized,lastimado,criticado,,,,
Hurt,defamed,lastimado,difamado,,,,
Hurt,censured,lastimado,censurado,,,,
Hurt,discredited,lastimado,desacreditado,,,,
Hurt,disparaged,lastimado,menospreciado,,,,
Hurt,laughed at,lastimado,burlado,,,,
Hurt,maligned,lastimado,maligno,,,,
Hurt,mistreated,lastimado,maltratado,,,,
Hurt,ridiculed,lastimado,ridiculizado,,,,
Hurt,devalued,lastimado,devaluado,,,,
Hurt,scorned,lastimado,depreciado,,,,
Hurt,mocked,lastimado,burlado,,,,
Hurt,scoffed at,lastimado,desairado,,,,
Hurt,used,lastimado,usado,,,,
Hurt,exploited,lastimado,explotado,,,,
Hurt,debased,lastimado,debasado,,,,
Hurt,slammed,lastimado,golpeado,,,,
Hurt,slandered,lastimado,calumniado,,,,
Hurt,impugned,lastimado,arrojado,,,,
Hurt,cheapened,lastimado,abaradado,,,,
Hurt,crushed,lastimado,apachurrado,,,,
Hurt,destroyed,lastimado,destruido,,,,
Hurt,ruined,lastimado,arruinado,,,,
Hurt,degraded,lastimado,degradado,,,,
Hurt,pained,lastimado,dolido,,,,
Hurt,wounded,lastimado,herido,,,,
Hurt,devastated,lastimado,devastado,,,,
Hurt,tortured,lastimado,torturado,,,,
Hurt,disgraced,lastimado,desgraciado,,,,
Hurt,humiliated,lastimado,humillado,,,,
Hurt,anguished,lastimado,angustiado,,,,
Hurt,tormented,lastimado,atormentado,,,,
Hurt,cast off,lastimado,desechado,,,,
Hurt,forsaken,lastimado,abandonado,,,,
Hurt,rejected,lastimado,rechazado,,,,
Hurt,discarded,lastimado,descartado,,,,
Fearful,nervous,Temeroso,nervioso,,,,
Fearful,anxious,Temeroso,ansioso,,,,
Fearful,unsure,Temeroso,inseguro,,,,
Fearful,hesitant,Temeroso,vacilado,,,,
Fearful,timid,Temeroso,timodio,,,,
Fearful,shy,Temeroso,penoso,,,,
Fearful,worried,Temeroso,preocupado,,,,
Fearful,uneasy,Temeroso,inquieto,,,,
Fearful,bashful,Temeroso,timido,,,,
Fearful,embarassed,Temeroso,avergonzado,,,,
Fearful,ill at ease,Temeroso,incomodo,,,,
Fearful,doubtful,Temeroso,dudoso,,,,
Fearful,jittery,Temeroso,nervioso,,,,
Fearful,on edge,Temeroso,en el borde,,,,
Fearful,uncomfortable,Temeroso,incomodo,,,,
Fearful,self-conscious,Temeroso,auto-consiente,,,,
Fearful,afraid,Temeroso,miedo,,,,
Fearful,scared,Temeroso,miedoso,,,,
Fearful,fearful,Temeroso,temeroso,,,,
Fearful,apprehensive,Temeroso,aprensivo,,,,
Fearful,jumpy,Temeroso,asustado,,,,
Fearful,shaky,Temeroso,temblorozo,,,,
Fearful,threatened,Temeroso,amenzado,,,,
Fearful,distrustful,Temeroso,desconfiado,,,,
Fearful,risky,Temeroso,riesgo,,,,
Fearful,alarmed,Temeroso,alarmado,,,,
Fearful,butterflies,Temeroso,mariposa,,,,
Fearful,awkward,Temeroso,incomodo,,,,
Fearful,defensive,Temeroso,defensivo,,,,
Fearful,terrified,Temeroso,terrifado,,,,
Fearful,frightened,Temeroso,asustado,,,,
Fearful,intimidated,Temeroso,intimidado,,,,
Fearful,horrified,Temeroso,horrificado,,,,
Fearful,desperate,Temeroso,desdesperado,,,,
Fearful,panicky,Temeroso,apanicado,,,,
Fearful,terror-stricken,Temeroso,atterorizado,,,,
Fearful,vulnerable,Temeroso,vulnerable,,,,
Fearful,stage fright,Temeroso,miedo esenico,,,,
Fearful,dread,Temeroso,terror,,,,
Fearful,paralyzed,Temeroso,paralizado,,,,
Lonely,left out,solitario,ignorado,,,,
Lonely,excluded,solitario,excluido,,,,
Lonely,lonesome,solitario,solitario,,,,
Lonely,distant,solitario,distante,,,,
Lonely,aloof,solitario,a distancia,,,,
Lonely,lonely,solitario,solitario,,,,
Lonely,alienated,solitario,alienado,,,,
Lonely,estranged,solitario,enajenado,,,,
Lonely,remote,solitario,a distancia,,,,
Lonely,alone,solitario,solo ,,,,
Lonely,apart,solitario,aparte,,,,
Lonely,insulated,solitario,insulado,,,,
Lonely,isolated,solitario,aislado,,,,
Lonely,abandoned,solitario,abandonado,,,,
Lonely,all alone,solitario,solo ,,,,
Lonely,forsaken,solitario,abandonado,,,,
Lonely,cut off,solitario,cortado,,,,
Guilt/Shame,regretful,culpa/ pena,arrepentido,,,,
Guilt/Shame,wrong,culpa/ pena,equivocado,,,,
Guilt/Shame,embarassed,culpa/ pena,apenado,,,,
Guilt/Shame,at fault,culpa/ pena,la culpa,,,,
Guilt/Shame,in error,culpa/ pena,por error,,,,
Guilt/Shame,responsible,culpa/ pena,responsible,,,,
Guilt/Shame,bungling,culpa/ pena,torpeza,,,,
Guilt/Shame,fumbling,culpa/ pena,torpeza,,,,
Guilt/Shame,lament,culpa/ pena,lamento,,,,
Guilt/Shame,ashamed,culpa/ pena,avergonzado,,,,
Guilt/Shame,guilty,culpa/ pena,culpable,,,,
Guilt/Shame,remorseful,culpa/ pena,arrepentido,,,,
Guilt/Shame,crummy,culpa/ pena,de mala muerte,,,,
Guilt/Shame,to blame,culpa/ pena,la culpa,,,,
Guilt/Shame,less respectable,culpa/ pena,menos respetable,,,,
Guilt/Shame,demeaned,culpa/ pena,degradado,,,,
Guilt/Shame,sick at heart,culpa/ pena,enfermo de corazon,,,,
Guilt/Shame,exposed,culpa/ pena,expuesto,,,,
Guilt/Shame,unforgivable,culpa/ pena,imperdonable ,,,,
Guilt/Shame,humiliated,culpa/ pena,humillado,,,,
Guilt/Shame,disgraced,culpa/ pena,desgraciado,,,,
Guilt/Shame,degraded,culpa/ pena,degradado,,,,
Guilt/Shame,horrible,culpa/ pena,horrible,,,,
Guilt/Shame,mortified,culpa/ pena,mortificado,,,,
